FULL,ABBR
ACCESSORYAFTERTHEFACTTOAFELONY,ACCESSORY AFTER FACT
AGGRAVATEDINDECENTEXPOSURE(FELONY),AGG INDECENT EXPOSURE
AIDS-SEXUALPENETRATIONWITHUNINFORMEDPARTNER,AIDS SEX PENETRATE/UNINFORMED PARTNER
ALCOHOL-CONSUMEPUBLIC/GENERALVIOLATION,ALCOHOL CONSUME IN PUBLIC
ALCOHOL-OPENCONTAINERINVEHICLE,OPEN CONTAINER
ALCOHOL-POSS.ALCOHOLLIQUOR-MOTORVEH,POSS ALCOHOL IN MV
ALCOHOL-PURCHASE/CONSUMPTION/POSSESSIONBYMINOR,POSS ALCOHOL BY MINOR
ANIMALS-ABANDONING/CRUELTY,ANIMAL CRUELTY
ARSON-DWELLINGHOUSE,ARSON
ARSON-DWELLINGHOUSECURTILAGE,ARSON
"ARSON-PERSONALPROPERTY-$1,000.00ORMOREBUTLESSTHAN$20,000.00",ARSON
ASSAULT-AGGR.FEL.ASSAULT-FAMILY-OTHERWEAPON,AGG ASSAULT/FAMILY
ASSAULT-AGGRAVATED,AGG ASSAULT
ASSAULT-BATTERY-A&B,ASSAULT AND BATTERY
ASSAULT-BATTERY-A&B-SIMPLEASSAULT,SIMPLE ASSAULT AND BATTERY
ASSAULT-DOMESTICVIOLENCE,DOMESTIC VIOLENCE
ASSAULT-NONFAMILY-GUN,ASSAULT NON FAMILY/GUN
ASSAULT-NON-FAMILYOTHERWEAPON,ASSAULT NON FAMILY/WEAPON
ASSAULT-PRISONEMPLOYEE,ASSAULT PRISON EMPLOYEE
ASSAULT-W/DANGEROUSWEAPON-FELONYASSAULT,ASSAULT W/ WEAPON
ASSAULT-W/INTTODOGREATBODILYHARMLESSTHANMURDER,ASSAULT GREAT BODILY HARM
ASSAULT-WITHINTENTTOMURDER,ASSAULT W/ INTENT TO MURDER
ASSAULT-WITHINTMURDER,ASSAULT W/ INTENT TO MURDER
ASSAULT-WITHINTTOROB-ARMED,ASSAULT W/ INTENT TO ROB
ASSLT/RESIST/OBSTPOLICEOFFICER,ASSAULT/RESIST OFFICER
B&E-ACOIN-OPERATEDDEVICE,BREAKING AND ENTERING
"B&E-AVEHICLETOSTEALPROPERTY$1,000.00ORMOREBUTLESSTHAN$20,000.00",BREAKING AND ENTERING
"B&E-AVEHICLETOSTEALPROPERTY$200.00ORMOREBUTLESSTHAN$1,000.00",BREAKING AND ENTERING
B&E-AVEHICLETOSTEALPROPERTYLESSTHAN$200.00,BREAKING AND ENTERING
B&E-AVEHICLEWITHDAMAGETOVEHICLE,BREAKING AND ENTERING
B&E-BLDGW/INTENT,BREAKING AND ENTERING
B&E-ENTERWITHOUTBREAKINGWITHINTENT,BREAKING AND ENTERING
B&E-ILLEGALENTRY(WITHOUTOWNER'SPERMISSION),BREAKING AND ENTERING
B/WDOMESTIC,B/W DOMESTIC
B/WFAILTOPAY,B/W FAIL TO PAY
B/WFTAALTEREDOPS,B/W FTA ALTER
B/WR/F1ST,B/W R/1ST
B/WRETFRAUD3RD,B/W RETAIL FRAUD
BOND-ABSCONDINGORFORFEITING,BOND ABSCOND OR FORFEIT
BURGLARY,BURGLARY
BURGLARY/GEORGIA,BURGLARY
BURGLARY-BURGLAR'STOOLS-POSSESSION,POSS BURGLARY TOOLS
BURGLARY-ENTERW/OPERMISSION-MEDDLING&TAMPERING,BURGLARY
BURGLARY-POSSESSBURGLARYTOOLS,POSS BURGLARY TOOLS
BW:FTAOWI3RD,OWI 3RD OFF
BWABSCONDFROMTETHER,ABSCOND FROM TETHER
BWBOOKINGFEE,BOOKING FEE
BWCONTEMPT,CONTEMPT
BWCONTEMPTDISCOVERY,CONTEMPT
BWDANGDRUGS,DRUGS
BWDISORDERLY,DISORDERLY
BWDISORDERLY41-ADC,DISORDERLY
BWDOMESTIC,DOMESTIC
BWDOMVIOL,DOM VIOLENCE
BW-DWLS2ND,DWLS 2ND
BW-FAILURETOAPPEAR(EXCEPTNON-CRIMINALJUVENILEAND17&18YROLDWARDSOFCOURT),FAIL TO APPEAR
BW-FTA:DWLS,DWLS
BWFTA-DRUGS,DRUGS
BWFTADWLS,DWLS
BWFTADWLS2ND,DWLS 2ND
BWFTADWLSWHITECLOUD,DWLS 
BWFTALARCENY,LARCENY
BWFTAMARIJUANA,MARIJUANA
BWFTAOWI,OWI
BWFTAR+0,FTA R+O
BWFTARF2ND,FTA RF 2ND
BWFTAS/CDWLS,DWLS
BWFTATRESPASS,TRESPASS
BWFTPOP.IMP.,FTPOP IMP
BWIMPEDTRAFFIC/DWLS,IMPED TRAFFIC DWLS
BWNOLICENSE10THDC,NO LICENSE
BW-NOLOP,NO LOP
BWOBSCENITY10THDC,OBSCENITY 
BW-PROBATIONVIOLATION,PROB VIOLATION
BWPROBVIOLORIG:STOLEMV,PROB VIOLATION STOLEN MV
BWPROBVIOLORIGL:B&E,PROB VIOLATION B&E
BWPV,PV
BWRECKLESSDRIVING10DC,RECKLESS DRIVING
BWRETAILFRAUD,RETAIL FRAUD
BWRETFRAUD1ST,RETAIL FRAUD
BWSTOLENPROP41-ADC,STOLEN PROPERTY
BWTRAFFIC,TRAFFIC VIOL
BWTRAFFIC78TH,TRAFFIC VIO
BWTRAFFICVIOL,TRAFFIC VIOL
C/WFOC,C/W FOC
CAR-CARJACKING,CARJACKING
CAR-VEHICLETHEFT-UNAUTHORIZEDUSE(JOYRIDING),JOYRIDING
CBW-CONTEMPTFTP,CONTEMPT
CBW-FTADV,CBW
CBWPROBVIOL,PROB VIOLATION
CHECK-NON-SUFFICIENTFUNDS$100.00ORMOREBUTLESSTHAN$500.00,NON SUFFICIENT CHECK 100-500
CHECK-NON-SUFFICIENTFUNDSLESSTHAN$100.00,NON SUFFICIENT CHECK LESS THAN100
CHILDABUSE-2NDDEGREE,CHILD ABUSE
CHILDABUSE-3RDDEGREE,CHILD ABUSE
CHILDABUSE-4THDEGREE,CHILD ABUSE
CHILDNEGLECT/FOC,CHILD NEGLECT
CHILDREN-CONTRIBUTINGTODELINQUENCY,CONTRIBUTE TO DELINQUENCY
CHILDREN-DISTRIBUTINGOBSCENEMATTERTO,DISTRIBUTE ONSCENE MATERIAL/MINOR
CHILDSUPPORT,CHILD SUPPORT
CHILDSUPPORT-CRIMINAL-FAILINGTOPAY,CHILD SUPPORT 
CIVILWARRANT-FOC,CIVIL WARRANT
COMPUTER-USINGTOCOMMITACRIME-MAXIMUMIMPRISONMENTOF2YEARSORMOREBUTLESSTHAN4YEARS,USING COMPUTER TO COMMIT CRIME
COMPUTER-USINGTOCOMMITACRIME-MAXIMUMIMPRISONMENTOF4YEARSORMOREBUTLESSTHAN10YEARS,USING COMPUTER TO COMMIT CRIME
CONDITIONALRELEASEVIOLATION/BONDVIOLATION,BOND VIOLATION
CONSPIRACY,CONSPIRACY
CONTEMPTOFCOURT,CONTEMPT OF COURT
COURTESYHOLD,HOLD
CSC1ST/3CTS,CRIM SEX CONDUCT
