FULL,ABBR
FRAUD:ILLEGALUSEOFCREDITCARD,ILLEGAL USE OF CREDIT CARD
FAMILY/NONSUPPORT/-NEGLECTFAMILY-FELONY,FELONY NONSUPPORT/NEGLECT
OBSTUCTINGJUSTICE/PROBATIONVIOLATION,PROB VIOLATION
OBSTRUCTINGJUSTICE/FAILURETOAPPEAR,FAILURE TO APPEAR
"TITLELAWVIOLATIONS,CHAPTERII",TITLE VIOLATION
REGISTRATIONLAWVIOLATIONS,REGISTRATION VIOLATION
"DRIVINGONREVOKED,SUSPENDEDORREFUSED",DRIVING ON REV OR SUSP
VCSA:DANGEROUSDRUGS(OTHER),VCSA DANGEROUS DRUGS
RETAILFRAUD:THEFT2NDDEGREE,RETAIL THEFT
OBSTRUCTINGJUSTICE/OBSTRUCT(OTHER),OBSTRUCTING JUSTICE
FAILURETOREGISTER(SEXOFFENDER),FAIL TO REGISTER AS SEX OFFENDER
BURGLARY:FORCEDENTRY-RESIDENCE,BURGLARY/FORCED ENTRY
BURGLARY:OTHER,BURGLARY
OWI:OUIALCOHOL,OWI
ASSAULT&BATTERY/SIMPLEASSAULTORDOMESTIC,DOMESTIC OR SIMPLE ASSAULT
VCSA:COCAINE-SELL,SELL COCAINE
VCSA:CRACK-SELL,SELL CRACK
MURDERATTEMPT,ATTEMPTED MURDER
RETAILFRAUD:3RDDEGREE,RETAIL FRAUD
RETAILFRAUD:THEFT1STDEGREE,RETAIL THEFT
ATTEMPEDROBBERY-UNARMED,ATTEMPTED ROBBERY/UNARMED
OBSTRUCTPOLICE/RESISTINGOFFICER,RESISTING OFFICER
VCSA:COCAINE-(OTHER),VCSA COCAINE
FAMILY/NONSUPPORT/-NONSUPPORTOFPARENTS,NONSUPPORT
VCSA:COCAINE-POSSESS,POSSESS COCAINE
DISOBEYTRAFFICCONTROLDEVICE,TRAFFIC CONTROL VIOLATION
INVASIONOFPRIVACY/DIVULGEEAVESDROPINFORMATION,INVASION OF PRIVACY
WEAPONSOFFENSE/POSS.OFFIREARMINCOMM.OFCRIME,WEAPONS OFFENSE
DAMAGETOPROPERTY:PRIVATE,DAMAGING PROPERTY
VCSA:MARIJUANA-POSSESS,POSSESS MARIJUANA
DAMAGETOPROPERTY:(OTHER),DAMAGING PROPERTY
FLEEING&ELUDING(FELONY),FLEE AND ELUDE
OBSTRUCTPOLICE/OTHER,OBSTRUCTING
PUBLICPEACE/OTHER,PUBLIC PEACE
VCSA:MARIJUANA-SELL,SELL MARIJUANA
FLEE&ELUDEPLICEOFFICER,FLEE AND ELUDE
ASSAULTLESSTHANMURDER,ASSAULT
LARCENY:PERSONALPROPERTYFROMAMOTORVEHICLE,LARCENY FROM MV
CRIMINALSEXUALCONDUCT3RD(P/V),CRIM SEX CONDUCT
SEXOFFENSE:(OTHER),SEX OFFENSE
FRAUD:UTTERINGANDPUBLISHINGCHECK,CHECK FRAUD
ROBBERY:OTHER,ROBBERY
RETAILFRAUD:REFUND/EXCHANGE-2NDDEGREE,RETAIL FRAUD
LARCENY(OTHER),LARCENY
CRIMINALSEXUALCONDUCT4TH-FORCIBLECONTACT,CRIM SEX CONDUCT/FORCIBLE
STOLENPROPERTY:(OTHER),STOLEN PROPERTY
