FULL,ABBR
AGGRAVATED MURDER,AGG MURDER
 MURDER,MURDER
 ATT AGG MURDER,ATT AGG MURDER
 KIDNAPPING,KIDNAPPING
 GROSS SEXUAL IMPOSITION,GROSS SEXUAL IMPOSITION
 GROSS SEXUAL IMPOSITION,GROSS SEXUAL IMPOSITION
 AGG ARSON,AGG ARSON
 RAPE/UNDER THIRTEEN,RAPE/UNDER 13
 UNLAWFUL SEXUAL CONDUCT WITH A MINOR,UNLAWFUL SEXUAL CONDUCT W/ MINOR
 AGG ROBBERY,AGG ROBBERY
 AGGRAVATED ROBBERY,AGG ROBBERY
 RAPE,RAPE 
 ESCAPE,ESCAPE
 TRAFFICKING IN DRUGS,TRAFFICK DRUGS
 TRAFFICKING IN HEROIN W/CRIMINAL FORFEITURE SPEC 1 TO CT 5,TRAFFICK HEROIN
 AGGRAVATED TRAFFICKING IN DRUGS,AGG TRAFFICK DRUGS
 TRAFFICKING IN HEROIN,TRAFFICK HEROIN
 TRAFFICKING IN MARIJUANA,TRAFFICK MARIJ
 FELONIOUS ASSAULT/WEAPON,FELONIOUS ASSAULT/WEAPON
 ILLEGAL MANUFACTURE OF DRUGS,ILLEGAL MANUF DRUGS
 FELONIOUS ASSAULT,FELONIOUS ASSAULT
 ATT MURDER,ATT MURDER
 AGGRAVATED POSSESSION OF COCAINE,AGG POSS COCAINE
 DUI,DUI
 POSSESSION OF COCAINE,POSS COCAINE
 BURGLARY,BURGLARY
 SEXUAL BATTERY,SEXUAL BATTERY
 SOLICITING AFTER POSITIVE HIV TEST,SOLICITING AFTER POSITIVE HIV
 ILLEGAL USE OF MINOR IN NUDITY-ORIENTED MATERIAL OR PERFORMANCE,ILLEGAL USE OF MINOR IN NUDITY MATERIAL/PERFORM
 MENACING BY STALKING,MENACING BY STALKING
 AGG BURGLARY,AGG BURGLARY
 AGGRAVATED BURGLARY,AGG BURGLARY
 AGGRAVATED BURGLARY,AGG BURGLARY
 BURGLARY,BURGLARY
 GRAND THEFT,GRAND THEFT
 AGGRAVATED ASSAULT,AGG ASSAULT
 TRAFFICKING,TRAFFICKING
 ASSAULT,ASSAULT
 BREAKING AND ENTERING,BREAKING AND ENTERING
 BREAK & ENTER,BREAKING AND ENTERING
 THEFT,THEFT
 POSSESSION OF COCAINE,POSS COCAINE
 DOMESTIC VIOLENCE,DOMESTIC VIOLENCE
 POSSESSION OF HEROIN (BOI),POSS HEROIN
 POSSESSION OF HEROIN,POSS HEROIN
 DOMESTIC VIOLENCE/MENACE,DOMESTIC VIOLENCE/MENACE
 FELONIOUS ASSAULT,FELONIOUS ASSAULT
 AGGRAVATED MENACING,AGG MENACING
 PUBLIC INDECENCY,PUBLIC INDECENCY
 WILLFUL FLEEING,WILLFUL FLEEING
 REG CHANGE ADDRESS SEX OF,REG CHANGE ADDRESS SEX OFF
 CRIMINAL DAMAGING OR ENDANGERING,CRIM DAMAGING OR ENDANGERING
 FORGERY,FORGERY
 DISORDERLY CONDUCT,DISORDERLY CONDUCT
 DRUG PARAPHERNALIA OFFENSES,DRUG PARAPHERNALIA
 FAILURE TO REGISTER,FAIL TO REGISTER
 DOMESTIC VIOLENCE,DOMESTIC VIOLENCE
 DRIVING UNDER THE INFLUENCE,DUI
 NONSUPPORT OF DEPENDENTS 2919.21(A)(2)/(B),NONSUPPORT OF DEPENDENTS
 NONSUPPORT OF DEPENDENTS,NONSUPPORT OF DEPENDENTS
 IMPERSONATE A LAW OFFICER,IMPERSONATE A LAW OFFICER
 ILLEGAL MANUFACTURE OF DRUGS,ILLEGAL MANUF DRUGS 
 POSS DRUG ABUSE INSTRUM,POSS DRUG ABUSE INSTRUM
 FUGITIVE FROM JUSTICE,FUGITIVE FROM JUSTICE
 IMPORTUNING,IMPORTUNING
 OVI,OVI
 CARRY CONCEALED WEAPON,CARRY CONCEALED WEAPON
 WEAPONS WHILE UNDER DISABILITY,WEAPONS UNDER DISABILITY
 TAMPERING WITH EVIDENCE,TAMPERING W/ EVIDENCE
 POSSESSING DRUG ABUSE INSTRUMENTS,POSS DRUG ABUSE INSTRUM
 DISORDERLY CONDUCT/INTOX,DISORDERLY CONDUCT/INTOX
 POSS OF DRUGS,POSS DRUGS
 DRUG PARAPHERNALIA,DRUG PARAPHERNALIA
 ROBBERY,ROBBERY
